-----------------------------------------------------------------------
NEUTRAL-NEUTRAL and NEUTRAL-ION interactions
-----------------------------------------------------------------------
 Fit coefficients for the reduced collision integrals and ratios:
 -Q11IJ = pi *sigmaIJ**2 *omegastar11IJ, AstarIJ, BstarIJ and CstarIJ.
 Formula of the type:
 -Q11IJ = 1.D-20 *EXP( C1*lnT**3 +C2*lnT**2 +C3*lnT +C4 ) in m^2
 -AstarIJ  = EXP(C1*lnT**3 +C2*lnT**2 +C3*lnT +C4)
 -BstarIJ  = EXP(C1*lnT**3 +C2*lnT**2 +C3*lnT +C4)
 -CstarIJ  = EXP(C1*lnT**3 +C2*lnT**2 +C3*lnT +C4)

ATTENTION, the present data are: Q11IJ, Q22IJ, BstarIJ, 0.D0

-9.9324603e-004  9.2586383e-003 -1.9377009e-001  4.3819188e+000
 1.5225588e-004 -1.7984938e-003  1.7112982e-002  2.3112893e-002
 0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
-----------------------------------------------------------------------
.O-CO2.
-5.5193573e-004  3.3407376e-003 -1.4657720e-001  4.2685087e+000
-5.0602302e-004  3.0042459e-003 -1.3928867e-001  4.3618084e+000
 7.2754724e-005 -7.1662801e-004  9.3139982e-003  2.6752289e-002
 0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
-----------------------------------------------------------------------
.O-N2.
-1.23320E-03    3.53140E-02   -6.20988E-01    5.96843E+00
-1.70204E-03    4.84037E-02   -7.20186E-01    6.29133E+00
-4.80711E-04    1.90832E-02   -2.02723E-01    7.37414E-01
 0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
-----------------------------------------------------------------------
.O-NO.
-3.77659E-03    8.92761E-02   -9.74207E-01    6.80956E+00
-5.83107E-03    1.40386E-01   -1.36151E+00    7.83490E+00
-3.01381E-03    7.57430E-02   -6.06864E-01    1.66213E+00
 0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
-----------------------------------------------------------------------
.O-O2.
-1.86954E-03    4.94588E-02   -7.01334E-01    6.06620E+00
-3.07350E-03    7.87235E-02   -9.13464E-01    6.64138E+00
-1.31598E-03    3.71298E-02   -3.26882E-01    1.00723E+00
 0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
-----------------------------------------------------------------------
.CO-CO.
-1.6770473e-003  4.3770082e-002 -6.1339771e-001  6.0673826e+000
-3.4426310e-003  8.0490332e-002 -8.3606628e-001  6.5632993e+000
-1.2586833e-003  2.9664029e-002 -2.1308784e-001  5.5079175e-001
 0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
-----------------------------------------------------------------------
.CO-CO2.
-9.5719869e-003  2.2897350e-001 -2.0036226e+000  9.6091510e+000
-1.3748949e-002  3.2285279e-001 -2.6723780e+000  1.1232716e+001
-3.8480703e-003  9.3627984e-002 -7.3872081e-001  1.9690651e+000
 0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
-----------------------------------------------------------------------
.CO-N2.
